model,precision_at_20,recall_at_20,ndcg_at_20,mrr_at_20,evaluated_users,skipped_users_no_evaluable_relevant_items
Popularity,0.08864107883817429,0.024224657050801936,0.09758845679006997,0.24619552424521238,964.0,2.0
BPR,0.08941908713692946,0.023192249145599836,0.09366448323341504,0.21305309463220257,964.0,2.0
