user_idx,window_number,method,family,historical_weight,shift_signal,historical_loss,online_loss,method_loss,historical_coverage,online_coverage,expected_coverage
0,1,PredictionOnly,prediction,1.0,0.0,0.98,0.98,0.98,0.02,0.02,0.020000000000000018
0,1,OnlineOnly,online,0.0,0.0,0.98,0.98,0.98,0.02,0.02,0.020000000000000018
0,1,StaticMixture,static,0.25,0.0,0.98,0.98,0.98,0.02,0.02,0.020000000000000018
0,1,Hedge,hedge,0.5,0.0,0.98,0.98,0.98,0.02,0.02,0.020000000000000018
0,1,ShiftAwareAdaptiveTrust,shift,0.75,0.0,0.98,0.98,0.98,0.02,0.02,0.020000000000000018
0,2,PredictionOnly,prediction,1.0,0.9282468704111817,1.0,0.3660714285714286,1.0,0.0,0.6339285714285714,0.0
0,2,OnlineOnly,online,0.0,0.9282468704111817,1.0,0.3660714285714286,0.3660714285714286,0.0,0.6339285714285714,0.6339285714285714
0,2,StaticMixture,static,0.25,0.9282468704111817,1.0,0.3660714285714286,0.5245535714285714,0.0,0.6339285714285714,0.4754464285714286
0,2,Hedge,hedge,0.5,0.9282468704111817,1.0,0.3660714285714286,0.6830357142857143,0.0,0.6339285714285714,0.3169642857142857
0,2,ShiftAwareAdaptiveTrust,shift,0.3191064024931181,0.9282468704111817,1.0,0.3660714285714286,0.5683620944376017,0.0,0.6339285714285714,0.43163790556239834
0,3,PredictionOnly,prediction,1.0,0.9363870448103413,1.0,0.45185185185185184,1.0,0.0,0.5481481481481482,0.0
0,3,OnlineOnly,online,0.0,0.9363870448103413,1.0,0.45185185185185184,0.45185185185185184,0.0,0.5481481481481482,0.5481481481481482
0,3,StaticMixture,static,0.25,0.9363870448103413,1.0,0.45185185185185184,0.5888888888888889,0.0,0.5481481481481482,0.4111111111111111
0,3,Hedge,hedge,0.2196242945631529,0.9363870448103413,1.0,0.45185185185185184,0.5722385022049875,0.0,0.5481481481481482,0.4277614977950125
0,3,ShiftAwareAdaptiveTrust,shift,0.2514062882469694,0.9363870448103413,1.0,0.45185185185185184,0.5896597431872277,0.0,0.5481481481481482,0.4103402568127723
0,4,PredictionOnly,prediction,1.0,0.8553685817477034,0.9950738916256158,0.8817733990147784,0.9950738916256158,0.0049261083743842365,0.11822660098522167,0.0049261083743842304
0,4,OnlineOnly,online,0.0,0.8553685817477034,0.9950738916256158,0.8817733990147784,0.8817733990147784,0.0049261083743842365,0.11822660098522167,0.11822660098522164
0,4,StaticMixture,static,0.25,0.8553685817477034,0.9950738916256158,0.8817733990147784,0.9100985221674877,0.0049261083743842365,0.11822660098522167,0.08990147783251234
0,4,Hedge,hedge,0.08594733704585016,0.8553685817477034,0.9950738916256158,0.8817733990147784,0.8915112746406628,0.0049261083743842365,0.11822660098522167,0.10848872535933718
0,4,ShiftAwareAdaptiveTrust,shift,0.2452844875081168,0.8553685817477034,0.9950738916256158,0.8817733990147784,0.9095642522792449,0.0049261083743842365,0.11822660098522167,0.09043574772075513
0,5,PredictionOnly,prediction,1.0,0.801650858702931,1.0,0.519047619047619,1.0,0.0,0.48095238095238096,0.0
0,5,OnlineOnly,online,0.0,0.801650858702931,1.0,0.519047619047619,0.519047619047619,0.0,0.48095238095238096,0.480952380952381
0,5,StaticMixture,static,0.25,0.801650858702931,1.0,0.519047619047619,0.6392857142857142,0.0,0.48095238095238096,0.36071428571428577
0,5,Hedge,hedge,0.06973582541083599,0.801650858702931,1.0,0.519047619047619,0.55258723031664,0.0,0.48095238095238096,0.44741276968335997
0,5,ShiftAwareAdaptiveTrust,shift,0.27985365523527217,0.801650858702931,1.0,0.519047619047619,0.6536439008512499,0.0,0.48095238095238096,0.3463560991487501
0,6,PredictionOnly,prediction,1.0,0.7696432958865462,1.0,0.6518987341772151,1.0,0.0,0.34810126582278483,0.0
0,6,OnlineOnly,online,0.0,0.7696432958865462,1.0,0.6518987341772151,0.6518987341772151,0.0,0.34810126582278483,0.3481012658227849
0,6,StaticMixture,static,0.25,0.7696432958865462,1.0,0.6518987341772151,0.7389240506329113,0.0,0.34810126582278483,0.26107594936708867
0,6,Hedge,hedge,0.027850486284003752,0.7696432958865462,1.0,0.6518987341772151,0.661593523706457,0.0,0.34810126582278483,0.33840647629354303
0,6,ShiftAwareAdaptiveTrust,shift,0.26668167751905525,0.7696432958865462,1.0,0.6518987341772151,0.7447309636933419,0.0,0.34810126582278483,0.2552690363066581
0,7,PredictionOnly,prediction,1.0,0.7347470698343496,1.0,0.45064377682403434,1.0,0.0,0.5493562231759657,0.0
0,7,OnlineOnly,online,0.0,0.7347470698343496,1.0,0.45064377682403434,0.45064377682403434,0.0,0.5493562231759657,0.5493562231759657
0,7,StaticMixture,static,0.25,0.7347470698343496,1.0,0.45064377682403434,0.5879828326180258,0.0,0.5493562231759657,0.41201716738197425
0,7,Hedge,hedge,0.014079419015353013,0.7347470698343496,1.0,0.45064377682403434,0.4583783932788206,0.0,0.5493562231759657,0.5416216067211794
0,7,ShiftAwareAdaptiveTrust,shift,0.2742690347922815,0.7347470698343496,1.0,0.45064377682403434,0.6013151779116397,0.0,0.5493562231759657,0.3986848220883603
