shift_bin,shift_mean,shift_min,shift_max,quality_mean,quality_std,count,quality_sem
"(0.129, 0.469]",0.3593527999764808,0.1299335714528172,0.4686442897096794,0.08275987633994909,0.0769230115183942,1329,0.002110055059933531
"(0.469, 0.605]",0.5416910090119585,0.4687066893929112,0.6048571534876581,0.07307696442802235,0.09635307140597425,1328,0.002644030895152639
"(0.605, 0.712]",0.6606609607840815,0.604886266773443,0.7115591784009092,0.061159533468286106,0.09815081197044864,1328,0.002693362810830884
"(0.712, 0.814]",0.7618915191368328,0.7115826291456809,0.8142896583571262,0.05545814765018972,0.09586529614288701,1328,0.0026306458224541274
"(0.814, 1.0]",0.8883772762592467,0.8144460858824967,1.0,0.04580941179225321,0.11265155188445156,1329,0.003090115329225137
