user_idx,n_windows,spearman_rho,spearman_p_value
0,6,0.06761234037828133,0.8987360319248712
1,22,-0.24943474823188225,0.26293970804692385
2,7,-0.854686736757637,0.014273916157474897
3,6,-0.028571428571428574,0.9571545189504373
4,7,-0.14285714285714288,0.7599453002180927
5,10,-0.3465061598976368,0.3266572580343008
7,14,,
10,6,-0.7589709258986453,0.08014122805832388
11,29,-0.43491145409608667,0.018385238146095384
12,3,-0.8660254037844387,0.33333333333333326
14,5,-0.28867513459481287,0.6376180914006019
15,8,0.5714285714285715,0.13895995716070672
16,7,-0.11013346473215288,0.8141634625636773
17,4,0.7999999999999999,0.2000000000000001
18,10,-0.5183023183212385,0.12483849367734681
20,27,-0.641468883710328,0.00031099287947971465
21,20,-0.14831672789098288,0.5325944907800247
22,16,-0.9351998360236325,1.08272357643071e-07
23,7,0.0,1.0
24,14,-0.03964767327068582,0.8929531665854762
25,18,-0.5016026404916663,0.033932510969432964
27,5,-0.35355339059327373,0.5594043441634877
28,16,0.03737426025858748,0.8907011598757278
29,6,0.4285714285714286,0.3965014577259473
30,13,-0.5887213272323806,0.03427659549583686
31,5,,
32,38,-0.45611854798261336,0.004000812402195003
33,7,-0.3214285714285715,0.4820720382996778
34,3,0.8660254037844387,0.33333333333333326
37,5,0.7071067811865475,0.18169011381620942
38,5,-0.3,0.623837664781073
39,7,0.14414999403128945,0.7578179356488596
40,4,0.2581988897471611,0.741801110252839
42,3,-0.8660254037844387,0.33333333333333326
43,5,,
46,3,-0.5,0.6666666666666666
49,5,-0.8999999999999998,0.03738607346849874
50,4,0.10540925533894598,0.894590744661054
51,12,-0.469352733786692,0.12370632820811776
52,5,,
53,36,-0.5780734845044663,0.00022218651335093276
54,6,0.6,0.208
55,4,0.2581988897471611,0.741801110252839
58,3,0.5,0.6666666666666666
59,8,-0.880952380952381,0.0038503204637324005
60,3,-1.0,0.0
61,3,0.0,1.0
62,13,-0.24209101306752098,0.4255192840857562
65,18,0.20818365685447515,0.4071159423574097
66,28,-0.0655604474466227,0.7403018867137088
67,15,0.6607142857142856,0.007330569830891709
68,7,-0.43346072343150543,0.33126998536049607
70,7,0.10811249552346709,0.8175332656241182
72,28,-0.29087930937281903,0.13317405508694516
73,12,-0.3750861266008575,0.229594218006264
74,3,0.5,0.6666666666666666
76,5,0.0,1.0
77,4,-0.6000000000000001,0.4
80,6,0.3714285714285715,0.4684781341107872
81,4,-0.7999999999999999,0.2000000000000001
82,12,-0.6923076923076924,0.012593030496094112
83,6,,
84,7,-0.3571428571428572,0.431611352038328
85,8,-0.1197626261913259,0.7775830437712571
87,19,-0.17877727355640288,0.46398571760312063
88,4,,
89,7,0.7819474400123061,0.037769722599987385
91,15,0.2591600677389407,0.35096467738413445
92,4,0.7999999999999999,0.2000000000000001
93,17,-0.6642156862745099,0.0036363489577398347
94,5,-0.8999999999999998,0.03738607346849874
95,27,-0.39872350757983305,0.039387669145531184
98,3,0.5,0.6666666666666666
101,7,0.5,0.2531699951003227
102,4,0.7745966692414834,0.22540333075851665
103,5,-0.3,0.623837664781073
105,9,0.5477225575051661,0.12687036692367107
106,9,-0.17647681943136376,0.6496847436328109
107,4,-0.316227766016838,0.683772233983162
108,4,-0.39999999999999997,0.6000000000000001
110,15,-0.6068809696128191,0.016440309845057424
111,8,-0.313275750262722,0.44990820732344383
114,5,-0.8720815992723809,0.05385421772754213
115,7,0.3243374865704013,0.477885479739931
117,3,0.0,1.0
118,8,-0.4790505047653036,0.22974054535741778
119,11,-0.4671966687303402,0.14737431449313337
120,6,0.8857142857142858,0.01884548104956266
122,7,-0.5357142857142858,0.21521745567801298
123,7,0.18018749253911182,0.6990457740939313
125,3,-1.0,0.0
127,14,-0.11270890250240528,0.7012556599616342
129,14,-0.7523239848870141,0.0019073458610941378
130,13,0.2243844794591142,0.46112869087620684
131,4,-0.7999999999999999,0.2000000000000001
