user_idx,method,family,n_windows,total_loss,mean_loss,expected_coverage,historical_total_loss,online_total_loss,best_fixed_expert_loss,regret_to_best_fixed_expert
0,PredictionOnly,prediction,12,11.97035691049354,0.9975297425411284,0.0024702574588716386,11.97035691049354,6.729607669401417,6.729607669401417,5.240749241092124
0,OnlineOnly,online,12,6.729607669401417,0.5608006391167847,0.4391993608832153,11.97035691049354,6.729607669401417,6.729607669401417,0.0
0,StaticMixture,static,12,8.039794979674447,0.6699829149728705,0.33001708502712945,11.97035691049354,6.729607669401417,6.729607669401417,1.3101873102730304
0,Hedge,hedge,12,7.231630342240485,0.6026358618533737,0.3973641381466263,11.97035691049354,6.729607669401417,6.729607669401417,0.5020226728390682
0,ShiftAwareAdaptiveTrust,shift,12,8.108996599746815,0.6757497166455679,0.32425028335443207,11.97035691049354,6.729607669401417,6.729607669401417,1.3793889303453986
1,PredictionOnly,prediction,45,41.462326276045204,0.9213850283565601,0.07861497164343989,41.462326276045204,28.979558614201693,28.979558614201693,12.48276766184351
1,OnlineOnly,online,45,28.979558614201693,0.6439901914267043,0.35600980857329567,41.462326276045204,28.979558614201693,28.979558614201693,0.0
1,StaticMixture,static,45,32.10025052966256,0.713338900659168,0.28666109934083195,41.462326276045204,28.979558614201693,28.979558614201693,3.120691915460867
1,Hedge,hedge,45,29.415452891133754,0.6536767309140834,0.3463232690859166,41.462326276045204,28.979558614201693,28.979558614201693,0.4358942769320606
1,ShiftAwareAdaptiveTrust,shift,45,33.75669591904834,0.7501487982010743,0.24985120179892573,41.462326276045204,28.979558614201693,28.979558614201693,4.777137304846647
2,PredictionOnly,prediction,15,12.876000000000001,0.8584,0.14159999999999995,12.876000000000001,10.671999999999999,10.671999999999999,2.2040000000000024
2,OnlineOnly,online,15,10.671999999999999,0.7114666666666666,0.2885333333333334,12.876000000000001,10.671999999999999,10.671999999999999,0.0
2,StaticMixture,static,15,11.222999999999999,0.7482,0.2518,12.876000000000001,10.671999999999999,10.671999999999999,0.5510000000000002
